Unnamed: 0,"Вес одного животного, кг",Максимальное количество животных этого вида на одной клетке,"Скорость перемещения, не более чем, клеток за ход",Сколько килограммов пищи нужно животному для полного насыщения
Волк,50.0,30,3.0,8.0
Удав,15.0,30,1.0,3.0
Лиса,8.0,30,2.0,2.0
Медведь,500.0,5,2.0,80.0
Орел,6.0,20,3.0,1.0
Лошадь,400.0,20,4.0,60.0
Олень,300.0,20,4.0,50.0
Кролик,2.0,150,2.0,0.45
Мышь,0.05,500,1.0,0.01
Коза,60.0,140,3.0,10.0
Овца,70.0,140,3.0,15.0
Кабан,400.0,50,2.0,50.0
Буйвол,700.0,10,3.0,100.0
Утка,1.0,200,4.0,0.15
Гусеница,0.01,1000,0.0,0.0
Растения,1.0,200,,
